env_steps,rob,rmse,mean,overshoot,band
18874368,1,3.70033,3.34273,6.26534,0.323278
37617664,1,1.10796,0.864993,2.59692,0.898039
56360960,1,0.817498,0.687458,1.57766,0.96343
75104256,1,0.790485,0.722075,1.26093,1
93847552,1,0.608468,0.583647,0.812475,1
112590848,1,0.574324,0.542157,0.79448,1
131334144,1,0.144219,0.116343,0.538504,1
149946368,1,0.17278,0.150123,0.488882,1
