env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.000488281,15.5343,2.22743,2.47371
7499776,0.00830078,12.9647,2.11355,2.62182
11249664,0.00170898,11.3045,2.25661,2.30077
14999552,0.00292969,11.922,1.91836,2.23192
18749440,0.000488281,14.0886,1.68316,2.21989
22499328,0.0231934,13.1778,1.30127,2.34299
26249216,0.0078125,14.8923,1.37824,2.31289
29999104,0.00268555,14.19,1.40931,2.52689
29999872,0.00366211,14.1931,1.40981,2.55412
