env_steps,rob,rmse,mean,overshoot,band
18874368,0,1.25028,0.915134,3.7988,0.8665
37617664,1,2.89947,2.32239,5.76225,0.532746
56360960,1,1.15465,0.845396,2.68625,0.863915
75104256,1,0.737989,0.510667,2.03574,0.962993
93847552,1,0.695868,0.468067,2.05117,0.964549
112590848,1,2.97263,2.82693,3.80233,0.22387
131334144,1,0.627947,0.583488,1.18666,1
149946368,1,0.389279,0.34594,0.863764,1
