env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.060791,14.6524,1.09065,3.24394
7499776,0.770508,8.9382,1.14212,2.23815
11249664,0.646729,11.0338,0.98752,3.27658
14999552,0.701904,10.1482,1.50726,4.00943
18749440,0.933594,7.8265,1.39391,5.74634
22499328,0.856689,10.8257,1.25169,5.5537
26249216,0.844727,7.91242,1.11305,7.02498
29999104,0.812256,9.13824,1.16763,7.36999
29999872,0.749512,11.0792,1.17732,6.68162
