env_steps,rob,rmse,mean,overshoot,band
18874368,1,1.63348,1.22722,4.46769,0.802826
37617664,1,1.12096,0.835232,2.84758,0.865507
56360960,1,0.867645,0.767941,1.47723,0.971846
75104256,1,0.77483,0.740055,1.06858,1
93847552,1,0.832903,0.798002,1.11634,1
112590848,1,0.528267,0.482603,1.12347,0.999323
131334144,1,0.217541,0.201486,0.469451,1
149946368,1,0.159761,0.137461,0.498296,1
