env_steps,rob,phi_rmse,hdot_rmse,va_rmse
7499776,0.719,8.14,1.14,6.43
14999552,0.898,8.24,0.93,4.42
22499328,0.921,8.54,0.77,2.37
29999104,0.959,8.25,0.93,2.62
