env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.372262,0.245118,1.25537,0.991156
7499776,1,0.246197,0.155345,0.820153,1
11249664,1,0.215799,0.155147,0.782392,0.999848
14999552,1,0.161922,0.108128,0.589465,1
18749440,1,0.15135,0.0879343,0.564422,1
22499328,1,0.60568,0.454546,1.55188,0.916556
26249216,1,0.14504,0.081037,0.599709,0.997727
29999104,1,0.164771,0.103107,0.547911,1
29999872,1,0.166127,0.111306,0.554596,1
