env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.0631303,0.0323481,0.345997,1
7499776,1,0.0458493,0.0248268,0.272585,1
11249664,1,0.0940604,0.0560597,0.41943,1
14999552,1,0.0433941,0.0147973,0.31117,1
18749440,1,0.0440163,0.0131111,0.34073,1
22499328,1,0.046469,0.0134251,0.347371,1
26249216,1,0.0420939,0.0125482,0.335499,1
29999104,1,0.0443435,0.0123072,0.345889,1
29999872,1,0.0447434,0.0120252,0.347044,1
