env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.0860715,0.0582478,0.301635,1
7499776,1,0.0488758,0.0256799,0.288516,1
11249664,1,0.0448105,0.019944,0.305355,1
14999552,1,0.0392643,0.0136329,0.278448,1
18749440,1,0.0462568,0.0223027,0.266745,1
22499328,1,0.0405831,0.0166938,0.272599,1
26249216,1,0.0402188,0.0151487,0.282678,1
29999104,1,0.0415105,0.0182609,0.247579,1
29999872,1,0.0410682,0.0169664,0.259362,1
