env_steps,rob,rmse,mean,overshoot,band
3749888,1,1.88602,1.64109,3.45975,0.612528
7499776,1,0.477472,0.393687,1.1243,1
11249664,1,0.240475,0.157712,0.761675,1
14999552,1,0.167351,0.092447,0.598425,1
18749440,1,0.153367,0.0853992,0.57795,1
22499328,1,0.150679,0.0793328,0.557362,1
26249216,0.939453,0.227065,0.1571,0.756746,0.994095
29999104,1,0.12948,0.0746702,0.469055,1
29999872,1,0.141657,0.0757519,0.586971,1
