env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,7.7278,1.01209,2.48081
37617664,0.0231934,6.98465,0.567075,3.28939
56360960,0.0710449,5.90842,0.501608,3.28415
75104256,0.0598145,5.50221,0.494172,3.29288
78774272,0.0788574,5.39378,0.453349,3.2982
93847552,0.718262,4.53874,0.288673,2.37682
104988672,0.415283,4.44655,0.326249,2.59126
112590848,0.838135,4.55612,0.314855,2.2641
131203072,0.870117,4.48836,0.240567,1.89256
131334144,0.906738,4.50146,0.240339,1.89746
149946368,0.88501,4.46394,0.232204,1.59174
