env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.022,16.71,1.56,2.57
7499776,0.0,12.92,1.34,2.41
11249664,0.003,13.44,1.16,2.23
14999552,0.001,12.66,1.13,2.37
18749440,0.001,13.0,1.11,2.26
22499328,0.011,15.94,1.06,2.42
26249216,0.0,23.69,1.14,2.27
29999104,0.005,16.15,1.17,2.23
