env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.318848,10.7178,1.05322,1.80359
7499776,0.189209,9.19486,0.859947,1.63314
11249664,0.528076,9.63685,0.970476,2.21848
14999552,0.955811,9.10288,0.869807,2.46446
18749440,0.824951,10.4661,0.78594,2.52319
22499328,0.855713,8.85567,0.848041,3.04246
26249216,0.891602,8.11389,0.885399,2.4683
29999104,0.972168,8.69063,0.912515,3.23647
29999872,0.962158,9.29785,0.927513,2.9974
