env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.256176,0.169033,0.783066,1
7499776,0.953125,0.292156,0.173473,1.11209,0.99428
11249664,1,0.146649,0.0692522,0.647731,1
14999552,1,0.102589,0.056392,0.470579,1
18749440,1,0.13084,0.0651745,0.603562,1
22499328,1,0.119739,0.0696143,0.497401,1
26249216,1,0.112167,0.052174,0.486473,1
29999104,1,0.116703,0.0599531,0.424576,1
29999872,1,0.114653,0.0545968,0.435681,1
