env_steps,rob,rmse,mean,overshoot,band
18874368,0,1.3176,0.951371,4.03147,0.855665
37617664,1,2.34221,1.96783,4.76475,0.607222
56360960,1,1.02092,0.77532,2.30344,0.899772
75104256,1,0.85764,0.606535,2.36941,0.943368
93847552,1,0.909728,0.601326,2.5274,0.926408
112590848,1,0.71126,0.644864,1.32722,1
131334144,1,0.921579,0.812667,1.81985,0.971412
149946368,1,0.380362,0.336538,0.861214,1
