env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,13.7596,0.855583,3.18874
37617664,0.943848,6.79033,0.890595,2.96234
56360960,0.947998,6.75124,0.849628,2.71213
75104256,0.989746,6.63491,0.579654,2.5593
78774272,0.930176,6.9373,1.04287,2.98385
93847552,0.951904,6.87126,0.674172,2.82904
104988672,0.48584,7.00542,0.582795,2.81498
112590848,0.693115,6.88527,0.824685,2.76993
131203072,0.977783,6.75457,0.539801,2.49601
131334144,0.977783,6.75663,0.546147,2.50185
149946368,0.982422,6.78725,0.520534,2.51867
