env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,17.1512,0.963821,2.74194
37617664,0.79126,6.9663,1.00271,3.47702
56360960,0.967041,6.85803,0.819703,2.69017
75104256,0.993408,6.65053,0.650579,2.47019
78774272,0.974365,6.71539,0.863076,2.66893
93847552,0.585693,6.86817,0.61173,2.41819
104988672,0.644775,6.83889,0.693412,2.45541
112590848,0.996094,6.80044,0.529605,2.5237
131203072,0.998291,6.6374,0.515182,2.66599
131334144,0.998535,6.66038,0.520423,2.68103
149946368,0.993164,6.65031,0.508116,2.68863
