env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.236164,0.14933,0.758002,1
7499776,1,0.134089,0.092881,0.493677,1
11249664,1,0.136964,0.080589,0.484317,1
14999552,1,0.117292,0.0673972,0.411351,1
18749440,1,0.134031,0.0777381,0.523528,1
22499328,1,0.125165,0.0625597,0.492734,1
26249216,1,0.124242,0.0657327,0.488062,1
29999104,1,0.129955,0.0599186,0.467511,1
29999872,1,0.129151,0.0593566,0.463384,1
