env_steps,rob,rmse,mean,overshoot,band
3749888,0.519287,3.33305,2.47028,9.61865,0.564885
7499776,1,0.327219,0.194079,1.00571,1
11249664,1,0.215611,0.110693,0.815321,1
14999552,1,0.193649,0.10382,0.761139,1
18749440,1,0.160028,0.0957083,0.623062,1
22499328,1,0.161852,0.0924652,0.599791,1
26249216,1,0.147716,0.0763161,0.597436,1
29999104,1,0.131383,0.0625406,0.582087,1
29999872,1,0.13051,0.0688431,0.581215,1
