env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.336182,10.4162,1.05019,3.39244
7499776,0.533691,11.6963,0.988714,2.0593
11249664,0.73291,9.71747,0.871224,2.38868
14999552,0.945801,10.532,1.04773,2.42078
18749440,0.933594,9.02962,0.910668,1.94704
22499328,0.933838,9.10833,0.988713,1.79928
26249216,0.93335,9.3996,0.784779,2.84553
29999104,0.819336,8.76197,0.879747,2.47728
29999872,0.881348,8.3463,0.848718,2.59099
