env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0,12.8712,2.11725,2.7166
7499776,0.000244141,13.3703,1.23595,2.40106
11249664,0.000732422,12.2056,1.14784,2.5052
14999552,0.000244141,13.1006,1.19879,2.21013
18749440,0.00244141,11.4166,1.26115,2.27193
22499328,0.000244141,10.8005,1.19167,2.27871
26249216,0.000732422,11.5666,1.2064,2.30031
29999104,0.000244141,11.3597,1.15932,2.28572
29999872,0.000244141,11.6941,1.18502,2.2615
