env_steps,rob,rmse,mean,overshoot,band
3749888,1,0.103529,0.0682929,0.478945,1
7499776,1,0.0507267,0.017814,0.367757,1
11249664,1,0.0446613,0.0177249,0.296232,1
14999552,1,0.0459399,0.0213234,0.312,1
18749440,1,0.0457127,0.027392,0.230414,1
22499328,1,0.0419067,0.0197859,0.260945,1
26249216,1,0.0413419,0.0155613,0.286358,1
29999104,1,0.0502465,0.0208481,0.312101,1
29999872,1,0.049754,0.0219763,0.305411,1
