env_steps,rob,phi_rmse,hdot_rmse,va_rmse
18874368,1,7.55575,0.978029,2.1409
37617664,0.10498,5.98579,0.519108,3.44229
56360960,0.177734,5.49792,0.436491,3.19233
75104256,0.113281,5.46446,0.402794,3.22467
78774272,0.236328,5.22544,0.422001,3.39444
93847552,0.545166,4.61031,0.364005,2.60704
104988672,0.341553,5.2582,0.335854,2.20952
112590848,0.791992,4.54312,0.320111,2.01158
131203072,0.878662,4.50709,0.297797,1.77033
131334144,0.959717,4.51072,0.300128,1.78379
149946368,0.7854,4.39965,0.284704,1.30101
