env_steps,rob,phi_rmse,hdot_rmse,va_rmse
3749888,0.0148926,16.3577,1.45582,2.6456
7499776,0.000732422,12.3772,1.27521,2.48832
11249664,0,12.7636,1.09278,2.16132
14999552,0.000732422,10.9135,1.1895,2.23829
18749440,0.00219727,10.7908,1.14345,2.24954
22499328,0,11.7381,1.12784,2.50845
26249216,0.0012207,11.5434,1.01806,2.29104
29999104,0.000244141,11.8257,1.09688,2.23461
29999872,0.000488281,11.6637,1.10239,2.24204
